Scenario	NumAlleles	Number	GenoError	Code	NumLoc	gtyp.err.assumption	part.dist	part.dist2	trimmed.part.dist	trimmed.part.dist2	trimmed.num	num.dupl.elems	num.dupl.when.trimmed	Minutes
slfsg_wh	10	2	l	akAKaacl	5	d0m0	16	16	14	14	55	0	0	2.56667
slfsg_wh	10	2	n	akAKaacn	5	d0m0	1	1	0	0	55	0	0	2.93333
slfsg_wh	10	3	h	akAKaadh	5	d0m0	35	35	31	31	58	0	0	2.76667
slfsg_wh	10	3	l	akAKaadl	5	d0m0	17	17	14	14	58	0	0	3.51667
slfsg_wh	10	3	n	akAKaadn	5	d0m0	7	7	2	2	58	0	0	2.33333
slfsg_wh	10	4	h	akAKaaeh	5	d0m0	30	30	27	27	55	0	0	2.16667
slfsg_wh	10	4	l	akAKaael	5	d0m0	7	7	5	5	55	0	0	3.41667
slfsg_wh	10	4	n	akAKaaen	5	d0m0	4	4	0	0	55	0	0	3.06667
slfsg_wh	10	5	h	akAKaafh	5	d0m0	35	35	31	31	55	0	0	2.81667
slfsg_wh	10	5	l	akAKaafl	5	d0m0	16	16	13	13	59	0	0	3.16667
slfsg_wh	10	5	n	akAKaafn	5	d0m0	4	4	1	1	58	0	0	2.90000
allhalf	15	1	h	apABaabh	5	d0m0	19	19	4	4	6	0	0	2.83333
allhalf	15	1	l	apABaabl	5	d0m0	22	22	4	4	6	0	0	2.85000
allhalf	15	1	n	apABaabn	5	d0m0	25	25	8	8	12	0	0	2.48333
allhalf	15	2	h	apABaach	5	d0m0	20	20	8	8	12	0	0	2.21667
allhalf	15	2	l	apABaacl	5	d0m0	23	23	8	8	12	0	0	2.88333
allhalf	15	2	n	apABaacn	5	d0m0	23	23	NA	NA	0	0	0	2.36667
allhalf	15	3	h	apABaadh	5	d0m0	16	16	2	2	3	0	0	2.60000
allhalf	15	3	l	apABaadl	5	d0m0	16	16	2	2	3	0	0	2.65000
allhalf	15	3	n	apABaadn	5	d0m0	14	14	2	2	3	0	0	3.20000
allhalf	15	4	h	apABaaeh	5	d0m0	22	22	4	4	6	0	0	2.88333
